"","X","Area","Area.S","segment","Julian.Date","Season","Survey","Effort","Beaufort","Glare","Subjective","SST","DEPTH","DIST2SHORE","DIST125","phat","g0_ship","ds_ship","g0_plane","ds_plane","Species_DS_Num","Species_Hab_Num","NSights"
"1477",1477,100,8.616,"3040657.2011.23",180,2,1,0.718,3,3,2,23.99252319,-1876.815552,151.3263855,29391.35092,0.10668434,0.663167547,0.16087087,-9999,-9999,-9999,1,0
"1480",1480,100,107.868,"3040897.2011.23",180,2,1,8.989,3.185,2.259,2,24.28474426,-1974.797119,154.1141815,35804.30312,0.109001223,0.663167547,0.164364531,-9999,-9999,-9999,1,0
"1483",1483,100,59.028,"3040898.2011.23",180,2,1,4.919,3.5,1,2,24.20962334,-2122.091797,163.5319519,42474.57143,0.113051499,0.663167547,0.170472002,-9999,-9999,-9999,1,0
"1486",1486,100,76.092,"3041150.2011.23",180,2,1,6.341,4.8,2,1,25.67092133,-3033.934814,270.8701477,138943.7449,0.035362042,0.663167547,0.053322938,-9999,-9999,-9999,1,0
"1489",1489,100,107.46,"3041390.2011.23",180,2,1,8.955,4.197,0.448,2.272,25.86141014,-3062.696045,276.8633118,146211.5258,0.17132783,0.663167547,0.258347729,-9999,-9999,-9999,1,0
"1492",1492,100,120.456,"3041630.2011.23",180,2,1,10.038,2.482,1,3,25.89632034,-3098.905273,282.8684998,152085.324,0.325133809,0.663167547,0.490274005,-9999,-9999,-9999,1,0
"1495",1495,100,20.244,"3041870.2011.23",180,2,1,1.687,2.1,1,3,25.88734818,-3157.071777,289.5106201,157683.4198,0.313775423,0.663167547,0.47314653,-9999,-9999,-9999,1,0
"1498",1498,100,66.588,"3042350.2011.23",180,2,1,5.549,4.5,0,1,26.64543533,-3281.903809,295.7979736,169245.4924,0.034075818,0.663167547,0.051383422,-9999,-9999,-9999,1,0
"1501",1501,100,120.516,"3042590.2011.23",180,2,1,10.043,4.5,0,1,27.31339073,-3342.883301,298.6739197,175544.7811,0.034075818,0.663167547,0.051383422,-9999,-9999,-9999,1,0
"1504",1504,100,120.42,"3042830.2011.23",180,2,1,10.035,4.5,0,1,27.50829697,-3424.36499,302.3111572,182175.4755,0.034075818,0.663167547,0.051383422,-9999,-9999,-9999,1,0
"1507",1507,100,105.336,"3043070.2011.23",180,2,1,8.778,4.421,0,1,27.61480904,-3498.797607,305.9493408,188968.5105,0.033744728,0.663167547,0.050884167,-9999,-9999,-9999,1,0
"1510",1510,100,43.848,"3043310.2011.23",180,2,1,3.654,4.4,0,1,27.74931145,-3580.017578,309.4688721,195878.48,0.033657243,0.663167547,0.050752247,-9999,-9999,-9999,1,0
"1513",1513,100,32.472,"3043549.2011.23",180,2,1,2.706,4.4,0,1,27.76217461,-3552.7146,303.5133362,196333.144,0.033657243,0.663167547,0.050752247,-9999,-9999,-9999,1,0
"1516",1516,100,38.16,"3043550.2011.23",180,2,1,3.18,4.4,0,1,27.66499138,-3667.42041,313.0346985,203045.9555,0.033657243,0.663167547,0.050752247,-9999,-9999,-9999,1,0
"1519",1519,100,81.864,"3035185.2011.24",188,2,1,6.822,4.591,1.698,2,21.26293945,-2561.841797,237.5535126,52397.41218,0.128149664,0.663167547,0.193238745,-9999,-9999,-9999,1,1
"1522",1522,100,98.52,"3035186.2011.24",188,2,1,8.21,4.44,1,2,21.66165543,-2361.707031,246.017807,55730.19084,0.125957752,0.663167547,0.189933528,-9999,-9999,-9999,1,0
"1525",1525,100,33.756,"3035187.2011.24",188,2,1,2.813,4.4,1,2,21.68669701,-2048.238037,254.8954773,57825.07405,0.125382741,0.663167547,0.189066461,-9999,-9999,-9999,1,0
"1528",1528,100,121.116,"3035425.2011.24",188,2,1,10.093,4.258,2,2,22.03372765,-2708.200439,243.0805206,61785.37114,0.123360334,0.663167547,0.186016844,-9999,-9999,-9999,1,0
"1531",1531,100,91.584,"3035427.2011.24",188,2,1,7.632,4.116,1,2,22.27447319,-1659.533936,259.9055176,67683.47621,0.121367156,0.663167547,0.183011302,-9999,-9999,-9999,1,0
"1534",1534,100,125.604,"3035428.2011.24",188,2,1,10.467,4,1,2,22.10454369,-1980.346802,268.6238098,69934.58407,0.119760401,0.663167547,0.180588453,-9999,-9999,-9999,1,0
"1537",1537,100,57.792,"3035429.2011.24",188,2,1,4.816,3.938,1.496,2.155,22.36306381,-2820.483887,277.1722412,73371.62298,0.144310981,0.663167547,0.21760863,-9999,-9999,-9999,1,0
"1540",1540,100,64.62,"3035430.2011.24",188,2,1,5.385,3.6,2,3,23.18098068,-3201.429443,285.9675598,77617.82683,0.359580867,0.663167547,0.542217225,-9999,-9999,-9999,1,0
"1543",1543,100,120.84,"3035665.2011.24",188,2,1,10.07,3.987,2,2,22.65078163,-2919.0896,248.6704407,71339.85913,0.119581529,0.663167547,0.180318729,-9999,-9999,-9999,1,0
"1546",1546,100,120.84,"3037104.2011.24",188,2,1,10.07,0.569,3,3,24.15568542,-3365.48877,280.661377,122749.1885,0.270673399,0.663167547,0.180318729,-9999,-9999,-9999,1,0
"1549",1549,100,61.356,"3035670.2011.24",188,2,1,5.113,3.756,2,2.611,23.68424797,-3315.042969,290.6104126,86675.36253,0.242752042,0.663167547,0.366049339,-9999,-9999,-9999,1,0
"1552",1552,100,126.732,"3035671.2011.24",188,2,1,10.561,4.171,2.342,2,23.81203842,-3423.844482,299.3381958,90172.18578,0.122135713,0.663167547,0.184170221,-9999,-9999,-9999,1,0
"1555",1555,100,93.84,"3035672.2011.24",188,2,1,7.82,4.69,3,2,23.53090858,-3504.596191,308.3936462,93899.70582,0.129605107,0.663167547,0.195433427,-9999,-9999,-9999,1,0
"1558",1558,100,58.812,"3035673.2011.24",188,2,1,4.901,4.8,3,2,23.36547279,-3691.110107,317.132843,98272.07413,0.131239468,0.663167547,0.197897905,-9999,-9999,-9999,1,0
"1561",1561,100,120.948,"3035905.2011.24",188,2,1,10.079,3.553,2,2.309,22.62101364,-3088.25,254.6438904,81001.96855,0.16689757,0.663167547,0.251667276,-9999,-9999,-9999,1,0
"1564",1564,100,67.02,"3035913.2011.24",188,2,1,5.585,4.414,3,2,23.50518417,-3800.504639,321.7489624,107169.8481,0.125583728,0.663167547,0.189369532,-9999,-9999,-9999,1,0
"1567",1567,100,124.08,"3035914.2011.24",188,2,1,10.34,3.093,3,2.754,23.64234161,-3897.118164,331.0003662,111740.4913,0.266003715,0.663167547,0.401110875,-9999,-9999,-9999,1,0
"1570",1570,100,16.116,"3035915.2011.24",188,2,1,1.343,2.7,3,3,23.84721184,-4047.839844,339.6322937,116826.1289,0.331714922,0.663167547,0.500197761,-9999,-9999,-9999,1,0
"1573",1573,100,120.852,"3036145.2011.24",188,2,1,10.071,2.556,2,3,22.68168831,-3069.243896,260.7982788,90737.32578,0.327359884,0.663167547,0.493630736,-9999,-9999,-9999,1,0
"1576",1576,100,127.956,"3036345.2011.24",188,2,1,10.663,2.844,2,2.745,23.72465134,-88.88959503,116.2529373,10387.53248,0.256900172,0.663167547,0.387383509,-9999,-9999,-9999,1,0
"1579",1579,100,108.192,"3036346.2011.24",188,2,1,9.016,2.896,2,2.104,23.44893646,-99.61504364,120.2575684,9098.371644,0.120272466,0.663167547,0.181360603,-9999,-9999,-9999,1,0
"1582",1582,100,120.888,"3036385.2011.24",188,2,1,10.074,1.6,2.267,3,23.16856956,-3175.649658,267.0865479,100524.6515,0.299260008,0.663167547,0.451258524,-9999,-9999,-9999,1,0
"1585",1585,100,40.02,"3036585.2011.24",188,2,1,3.335,3,2,3,23.84660721,-130.3223572,125.2569733,926.8293313,0.340883453,0.663167547,0.514023122,-9999,-9999,-9999,1,0
"1588",1588,100,55.824,"3036586.2011.24",188,2,1,4.652,2.214,2,3,23.63964653,-116.7306671,129.5022125,6677.785602,0.317141382,0.663167547,0.478222108,-9999,-9999,-9999,1,0
"1591",1591,100,63.456,"3036587.2011.24",188,2,1,5.288,2,2.268,3,23.77993011,-130.7201233,132.822464,2227.941306,0.310839807,0.663167547,0.468719872,-9999,-9999,-9999,1,0
"1594",1594,100,55.284,"3036624.2011.24",188,2,1,4.607,0.5,3,3,23.07967949,-3194.071289,266.5492859,104876.7214,0.268827525,0.663167547,0.405368939,-9999,-9999,-9999,1,0
"1597",1597,100,43.26,"3036625.2011.24",188,2,1,3.605,0.5,3,3,23.37817764,-3273.98999,273.9369812,110076.3405,0.268827525,0.663167547,0.405368939,-9999,-9999,-9999,1,0
"1600",1600,100,97.356,"3036826.2011.24",188,2,1,8.113,2.579,1.969,2.154,23.79128265,-127.4803391,138.5065918,448.3458505,0.123512194,0.663167547,0.186245836,-9999,-9999,-9999,1,0
"1603",1603,100,120.816,"3036864.2011.24",188,2,1,10.068,0.5,3,3,23.56830978,-3306.638916,273.3795166,113724.426,0.268827525,0.663167547,0.405368939,-9999,-9999,-9999,1,0
"1606",1606,100,61.224,"3037066.2011.24",188,2,1,5.102,2.867,1,2.832,23.99721909,-391.708313,147.5113068,7864.608516,0.28304982,0.663167547,0.426814945,-9999,-9999,-9999,1,0
"1609",1609,100,75.516,"3037067.2011.24",188,2,1,6.293,3.406,1,2,24.15825272,-532.4850464,151.767868,13425.10412,0.111828801,0.663167547,0.168628278,-9999,-9999,-9999,1,0
"1612",1612,100,136.908,"3037307.2011.24",188,2,1,11.409,3.876,0.874,2,24.41432381,-859.3070679,160.7728424,21251.7151,0.118063984,0.663167547,0.1780304,-9999,-9999,-9999,1,0
"1615",1615,100,95.832,"3037344.2011.24",188,2,1,7.986,0.793,3,3,24.55028343,-3417.087891,287.9259949,131652.0512,0.276724939,0.663167547,0.417277565,-9999,-9999,-9999,1,0
"1618",1618,100,57.612,"3037542.2011.24",188,2,1,4.801,3,0,2,24.03723335,-96.3660965,126.7731628,7746.784282,0.10668434,0.663167547,0.16087087,-9999,-9999,-9999,1,0
"1621",1621,100,36.912,"3037547.2011.24",188,2,1,3.076,3.943,0,2,24.54378319,-622.6798706,169.7781372,27990.77268,0.118977895,0.663167547,0.1794085,-9999,-9999,-9999,1,0
"1624",1624,100,99.96,"3037548.2011.24",188,2,1,8.33,4.145,0,1.96,24.61844635,-1342.134521,174.0458679,35220.4282,0.115774835,0.663167547,0.17457856,-9999,-9999,-9999,1,0
"1627",1627,100,94.8,"3037584.2011.24",188,2,1,7.9,1,3,3,24.74080849,-3506.99585,295.3253479,140220.1497,0.282396879,0.663167547,0.425830366,-9999,-9999,-9999,1,0
"1630",1630,100,65.556,"3037782.2011.24",188,2,1,5.463,3,0,2,24.09682083,-110.5971069,130.5090332,3098.7081,0.10668434,0.663167547,0.16087087,-9999,-9999,-9999,1,0
"1633",1633,100,60.084,"3037783.2011.24",188,2,1,5.007,3.117,0,2,24.22138977,-138.76297,139.9134064,5903.882274,0.108144348,0.663167547,0.163072436,-9999,-9999,-9999,1,0
"1636",1636,100,12.096,"3037785.2011.24",188,2,1,1.008,2.7,0,2,24.18723679,-426.9282227,158.2408752,21569.07882,0.103022411,0.663167547,0.155348994,-9999,-9999,-9999,1,0
"1639",1639,100,68.748,"3037788.2011.24",188,2,1,5.729,4.7,0,1,24.72824097,-1458.882202,183.0513458,42105.58184,0.03492816,0.663167547,0.052668681,-9999,-9999,-9999,1,0
"1642",1642,100,26.16,"3037791.2011.24",188,2,1,2.18,4,0,2,24.68538475,-2346.504639,193.9223022,62744.18053,0.119760401,0.663167547,0.180588453,-9999,-9999,-9999,1,0
"1645",1645,100,139.116,"3037792.2011.24",188,2,1,11.593,4,0.445,2,24.53035164,-2504.725098,197.4973755,70485.85614,0.119760401,0.663167547,0.180588453,-9999,-9999,-9999,1,0
"1648",1648,100,26.148,"3037793.2011.24",188,2,1,2.179,4,1,2,24.39172554,-2612.791748,202.0263672,78738.04357,0.119760401,0.663167547,0.180588453,-9999,-9999,-9999,1,0
"1651",1651,100,87.024,"3037824.2011.24",188,2,1,7.252,1,3,3,24.73106194,-3610.674805,303.1235046,148885.8778,0.282396879,0.663167547,0.425830366,-9999,-9999,-9999,1,0
"1654",1654,100,82.704,"3038026.2011.24",188,2,1,6.892,3,0,2,24.81603813,-1156.070435,171.2643127,35459.32919,0.10668434,0.663167547,0.16087087,-9999,-9999,-9999,1,0
"1657",1657,100,108.708,"3038027.2011.24",188,2,1,9.059,3,0,2,24.79551315,-1561.365234,180.80159,42394.55869,0.10668434,0.663167547,0.16087087,-9999,-9999,-9999,1,0
"1660",1660,100,124.944,"3038028.2011.24",188,2,1,10.412,3.739,0,2,24.71090317,-1950.763306,189.6744843,48907.23623,0.116214881,0.663167547,0.175242111,-9999,-9999,-9999,1,0
"1663",1663,100,26.28,"3038029.2011.24",188,2,1,2.19,4,0.266,2,24.6515274,-2154.041504,196.3358917,56234.12431,0.119760401,0.663167547,0.180588453,-9999,-9999,-9999,1,0
"1666",1666,100,114.324,"3038033.2011.24",188,2,1,9.527,4,1.566,2,24.3171196,-2666.935059,210.9740448,84502.19632,0.119760401,0.663167547,0.180588453,-9999,-9999,-9999,1,0
"1669",1669,100,114.54,"3038034.2011.24",188,2,1,9.545,4,1.817,2,24.23059273,-2745.220459,214.8999786,92585.33831,0.119760401,0.663167547,0.180588453,-9999,-9999,-9999,1,0
"1672",1672,100,100.752,"3038064.2011.24",188,2,1,8.396,2.018,2.991,3,24.94792747,-3710.697266,311.2261963,157636.2865,0.311367037,0.663167547,0.469514889,-9999,-9999,-9999,1,0
"1675",1675,100,45.324,"3038269.2011.24",188,2,1,3.777,4.126,1,1.82,24.48710823,-2337.966797,202.8126221,63049.27084,0.096617112,0.663167547,0.14569035,-9999,-9999,-9999,1,0
"1678",1678,100,27.036,"3038274.2011.24",188,2,1,2.253,4,2,2,24.11103249,-2720.008057,224.4325867,98554.48451,0.119760401,0.663167547,0.180588453,-9999,-9999,-9999,1,0
"1681",1681,100,112.464,"3038275.2011.24",188,2,1,9.372,4.124,2.809,2,24.05381203,-2847.796143,228.319458,106510.1412,0.121478676,0.663167547,0.183179465,-9999,-9999,-9999,1,0
"1684",1684,100,72.576,"3038276.2011.24",188,2,1,6.048,4.5,3,2,23.75199127,-2862.84375,233.2166443,110879.0424,0.126824679,0.663167547,0.19124078,-9999,-9999,-9999,1,0
"1687",1687,100,121.152,"3038304.2011.24",188,2,1,10.096,2.886,1.909,3,25.35367775,-3882.748535,319.2711182,166527.4533,0.337384517,0.663167547,0.508747026,-9999,-9999,-9999,1,0
"1690",1690,100,121.152,"3039503.2011.24",188,2,1,10.096,1.742,1,3,25.60648155,-4207.541992,354.8085022,206561.601,0.303340637,0.663167547,0.508747026,-9999,-9999,-9999,1,0
"1693",1693,100,36.816,"3038516.2011.24",188,2,1,3.068,4.5,3,2,23.74912453,-2928.644287,241.7552338,120324.4924,0.126824679,0.663167547,0.19124078,-9999,-9999,-9999,1,0
"1696",1696,100,69.444,"3038517.2011.24",188,2,1,5.787,4.414,3,2,23.8464241,-2918.30127,246.6477356,123840.6378,0.125583728,0.663167547,0.189369532,-9999,-9999,-9999,1,0
"1699",1699,100,33.504,"3038518.2011.24",188,2,1,2.792,4,3,2,23.74042702,-2866.699951,251.3620911,127891.0009,0.119760401,0.663167547,0.180588453,-9999,-9999,-9999,1,0
"1702",1702,100,34.368,"3038543.2011.24",188,2,1,2.864,2.5,1,3,25.51564789,-3951.942627,321.2885742,171553.6604,0.325674533,0.663167547,0.491089371,-9999,-9999,-9999,1,0
"1705",1705,100,80.292,"3038544.2011.24",188,2,1,6.691,2.678,1,3,25.6037159,-4020.076172,327.2530212,175537.9916,0.331047606,0.663167547,0.499191505,-9999,-9999,-9999,1,0
"1708",1708,100,85.848,"3038758.2011.24",188,2,1,7.154,3.667,2.334,2.333,23.49671364,-2912.876709,260.3654175,136982.3746,0.173966409,0.663167547,0.262326481,-9999,-9999,-9999,1,0
"1711",1711,100,110.856,"3038759.2011.24",188,2,1,9.238,3,0.783,3,23.41923714,-2916.391602,264.7565002,141303.1236,0.340883453,0.663167547,0.514023122,-9999,-9999,-9999,1,0
"1714",1714,100,74.568,"3038783.2011.24",188,2,1,6.214,1,0,3,25.60831833,-4038.648682,329.4147644,180866.9466,0.282396879,0.663167547,0.425830366,-9999,-9999,-9999,1,0
"1717",1717,100,16.104,"3038999.2011.24",188,2,1,1.342,3,0,3,23.43348885,-2969.894043,273.7595215,150248.5789,0.340883453,0.663167547,0.514023122,-9999,-9999,-9999,1,0
"1720",1720,100,122.232,"3039000.2011.24",188,2,1,10.186,2.826,0,3,23.41371346,-3032.745605,278.1614075,152331.7524,0.335550245,0.663167547,0.5059811,-9999,-9999,-9999,1,0
"1723",1723,100,66.36,"3039001.2011.24",188,2,1,5.53,2.5,0,3,23.5199585,-2969.849854,282.574646,152496.4788,0.325674533,0.663167547,0.491089371,-9999,-9999,-9999,1,0
"1726",1726,100,121.02,"3039023.2011.24",188,2,1,10.085,0.093,0,3,25.68443489,-4096.256348,337.5435181,190249.9577,0.25811595,0.663167547,0.3892168,-9999,-9999,-9999,1,0
"1729",1729,100,62.712,"3039241.2011.24",188,2,1,5.226,2.759,0,3,23.58335686,-2990.851807,291.5767212,162485.6905,0.333507996,0.663167547,0.502901564,-9999,-9999,-9999,1,0
"1732",1732,100,136.512,"3039242.2011.24",188,2,1,11.376,2.843,0,3,23.58140755,-2991.006836,293.0007019,163105.9069,0.33606944,0.663167547,0.506764003,-9999,-9999,-9999,1,0
"1735",1735,100,47.904,"3039243.2011.24",188,2,1,3.992,2.056,0,3,23.53162193,-3048.998779,292.4359741,164308.1329,0.312481782,0.663167547,0.471195829,-9999,-9999,-9999,1,0
"1738",1738,100,120.996,"3039263.2011.24",188,2,1,10.083,0.115,0.989,3,25.54442024,-4149.616699,346.5243835,198524.6003,0.258687196,0.663167547,0.39007819,-9999,-9999,-9999,1,0
"1741",1741,100,90.204,"3039483.2011.24",188,2,1,7.517,2,0,3,23.66967773,-3125.873779,302.4369507,174201.1454,0.310839807,0.663167547,0.468719872,-9999,-9999,-9999,1,0
"1744",1744,100,136.26,"3039484.2011.24",188,2,1,11.355,2,0,3,23.79465103,-3216.0271,302.8829041,173429.864,0.310839807,0.663167547,0.468719872,-9999,-9999,-9999,1,0
"1747",1747,100,21.756,"3039485.2011.24",188,2,1,1.813,2,0,3,23.89208603,-3290.745361,303.3401184,171427.3992,0.310839807,0.663167547,0.468719872,-9999,-9999,-9999,1,0
"1750",1750,100,117.6,"3039725.2011.24",188,2,1,9.8,2,0,3,24.05070496,-3372.893799,313.3398743,181286.1171,0.310839807,0.663167547,0.468719872,-9999,-9999,-9999,1,0
"1753",1753,100,93.672,"3039726.2011.24",188,2,1,7.806,2,0.215,3,24.03880501,-3436.050537,313.8076782,178842.5752,0.310839807,0.663167547,0.468719872,-9999,-9999,-9999,1,0
"1756",1756,100,67.764,"3039743.2011.24",188,2,1,5.647,2,1,3,25.5787735,-4269.345703,363.4900513,214763.5272,0.310839807,0.663167547,0.468719872,-9999,-9999,-9999,1,0
"1759",1759,100,15.408,"3039966.2011.24",188,2,1,1.284,2,1,3,24.13074875,-3531.004395,323.8067627,188609.9951,0.310839807,0.663167547,0.468719872,-9999,-9999,-9999,1,0
"1762",1762,100,88.872,"3039967.2011.24",188,2,1,7.406,1.647,1,3,24.0584259,-3555.255371,324.2851257,186778.3088,0.300606913,0.663167547,0.453289541,-9999,-9999,-9999,1,0
"1765",1765,100,77.988,"3039968.2011.24",188,2,1,6.499,1.195,2.22,3,24.06904984,-3595.827881,324.7747192,185435.5603,0.287809123,0.663167547,0.433991567,-9999,-9999,-9999,1,0
"1768",1768,100,103.392,"3039983.2011.24",188,2,1,8.616,2.18,1,3,25.6442337,-4343.668945,372.0835266,223112.1929,0.316135358,0.663167547,0.47670511,-9999,-9999,-9999,1,0
"1771",1771,100,63.072,"3040208.2011.24",188,2,1,5.256,1,3,3,24.56219101,-3693.662842,334.7723389,195373.4817,0.282396879,0.663167547,0.425830366,-9999,-9999,-9999,1,0
"1774",1774,100,122.028,"3040209.2011.24",188,2,1,10.169,0.011,1.022,3,24.66853142,-3740.044922,336.2723694,194543.7847,0.255994615,0.663167547,0.386018008,-9999,-9999,-9999,1,0
"1777",1777,100,42.936,"3040210.2011.24",188,2,1,3.578,0,1,3,24.63418579,-3767.421631,337.7836609,194226.0818,0.255710989,0.663167547,0.385590324,-9999,-9999,-9999,1,0
"1780",1780,100,95.004,"3040223.2011.24",188,2,1,7.917,2.553,1.266,3,25.69329453,-4408.92334,380.4554138,231519.0817,0.327269479,0.663167547,0.493494412,-9999,-9999,-9999,1,0
"1783",1783,100,71.244,"3040450.2011.24",188,2,1,5.937,0,1,3,25.24039459,-3838.33374,347.7796326,204225.9075,0.255710989,0.663167547,0.385590324,-9999,-9999,-9999,1,0
"1786",1786,100,119.508,"3040451.2011.24",188,2,1,9.959,0.601,1.159,3,25.06476021,-3870.820313,349.3013,204371.2891,0.271532378,0.663167547,0.409447626,-9999,-9999,-9999,1,0
"1789",1789,100,5.748,"3040452.2011.24",188,2,1,0.479,2,2,3,24.79066277,-3879.353516,351.5294189,204977.0953,0.310839807,0.663167547,0.468719872,-9999,-9999,-9999,1,0
"1792",1792,100,59.952,"3040462.2011.24",188,2,1,4.996,2.7,2,3,25.71953964,-4425.188965,384.781311,234933.284,0.331714922,0.663167547,0.500197761,-9999,-9999,-9999,1,0
"1795",1795,100,35.352,"3040463.2011.24",188,2,1,2.946,2.7,2,3,25.69155502,-4473.334473,389.4379578,239993.0188,0.331714922,0.663167547,0.500197761,-9999,-9999,-9999,1,0
"1798",1798,100,132.024,"3040692.2011.24",188,2,1,11.002,2,2,3,25.29220581,-3945.010986,360.8283691,214942.6794,0.310839807,0.663167547,0.468719872,-9999,-9999,-9999,1,0
"1801",1801,100,109.872,"3040693.2011.24",188,2,1,9.156,2,1.06,3,25.15480804,-3934.187256,363.3715515,215982.2703,0.310839807,0.663167547,0.468719872,-9999,-9999,-9999,1,0
"1804",1804,100,120.792,"3040702.2011.24",188,2,1,10.066,2.7,2.614,3,25.72621918,-4477.34375,393.7649536,243699.019,0.331714922,0.663167547,0.500197761,-9999,-9999,-9999,1,0
"1807",1807,100,28.596,"3040933.2011.24",188,2,1,2.383,1.693,1,3,25.33919144,-3989.982422,373.3647766,225905.0399,0.301928736,0.663167547,0.455282737,-9999,-9999,-9999,1,0
"1810",1810,100,101.544,"3040934.2011.24",188,2,1,8.462,1.5,1,3,25.31191635,-4018.854004,375.1009827,227334.7151,0.29640662,0.663167547,0.446955858,-9999,-9999,-9999,1,0
"1813",1813,100,43.08,"3040935.2011.24",188,2,1,3.59,1,0.503,3,25.31373215,-4056.259521,378.2417297,229148.5786,0.282396879,0.663167547,0.425830366,-9999,-9999,-9999,1,0
"1816",1816,100,120.66,"3040942.2011.24",188,2,1,10.055,2.7,3,3,25.75065804,-4526.899902,402.7484741,252556.4797,0.331714922,0.663167547,0.500197761,-9999,-9999,-9999,1,0
"1819",1819,100,54.084,"3041175.2011.24",188,2,1,4.507,1.924,0,3,25.47123718,-4114.769043,387.473999,238953.5512,0.308619483,0.663167547,0.465371811,-9999,-9999,-9999,1,0
"1822",1822,100,137.916,"3041176.2011.24",188,2,1,11.493,2,0,3,25.55435944,-4168.559082,390.1988831,241077.9203,0.310839807,0.663167547,0.468719872,-9999,-9999,-9999,1,0
"1825",1825,100,49.26,"3041177.2011.24",188,2,1,4.105,2,0,3,25.65828323,-4236.465332,393.6346741,243594.596,0.310839807,0.663167547,0.468719872,-9999,-9999,-9999,1,0
"1828",1828,100,121.2,"3041182.2011.24",188,2,1,10.1,2.927,3,3,25.75502586,-4579.529785,411.8431091,261496.3476,0.338640835,0.663167547,0.510641446,-9999,-9999,-9999,1,0
"1831",1831,100,67.68,"3041417.2011.24",188,2,1,5.64,2,0,3,25.75107765,-4313.900879,403.084198,253235.1794,0.310839807,0.663167547,0.468719872,-9999,-9999,-9999,1,0
"1834",1834,100,143.304,"3041418.2011.24",188,2,1,11.942,2,2.029,3,25.84557724,-4388.412109,406.219696,256023.0843,0.310839807,0.663167547,0.468719872,-9999,-9999,-9999,1,0
"1837",1837,100,17.64,"3041419.2011.24",188,2,1,1.47,2,3,3,25.92245674,-4459.04541,409.8268433,259165.7695,0.310839807,0.663167547,0.468719872,-9999,-9999,-9999,1,0
"1840",1840,100,120.984,"3041422.2011.24",188,2,1,10.082,3,3,3,25.72464371,-4627.796875,421.0119019,270510.4499,0.340883453,0.663167547,0.514023122,-9999,-9999,-9999,1,0
"1843",1843,100,115.032,"3041659.2011.24",188,2,1,9.586,2.518,3,3,25.85615921,-4522.255371,418.8135681,268621.1309,0.326215743,0.663167547,0.491905468,-9999,-9999,-9999,1,0
"1846",1846,100,129.24,"3041660.2011.24",188,2,1,10.77,2.568,3,3,25.89179039,-4571.867188,422.4306946,271965.9258,0.327721638,0.663167547,0.49417623,-9999,-9999,-9999,1,0
"1849",1849,100,120.9,"3041662.2011.24",188,2,1,10.075,2.826,3,3,25.63803101,-4664.275879,430.1831055,279591.6087,0.335550245,0.663167547,0.5059811,-9999,-9999,-9999,1,0
"1852",1852,100,7.788,"3041900.2011.24",188,2,1,0.649,2.5,3,3,25.8222599,-4617.799805,431.5309753,281355.6978,0.325674533,0.663167547,0.491089371,-9999,-9999,-9999,1,0
"1855",1855,100,155.604,"3041901.2011.24",188,2,1,12.967,2.076,3,3,25.76211929,-4643.999023,435.4395142,284893.0148,0.31306942,0.663167547,0.472081936,-9999,-9999,-9999,1,0
"1858",1858,100,114.444,"3041902.2011.24",188,2,1,9.537,2.274,3,3,25.57893181,-4692.945801,439.6813965,288733.4955,0.318921123,0.663167547,0.480905806,-9999,-9999,-9999,1,0
"1861",1861,100,95.808,"3037791.2011.26",204,2,1,7.984,4.5,2,2,24.59278107,-2346.504639,193.9223022,62744.18053,0.126824679,0.663167547,0.19124078,-9999,-9999,-9999,1,0
"1864",1864,100,120.312,"3038031.2011.26",204,2,1,10.026,4.5,2,2,24.68622208,-2372.714844,202.9274597,69798.95863,0.126824679,0.663167547,0.19124078,-9999,-9999,-9999,1,0
"1867",1867,100,120.204,"3038271.2011.26",204,2,1,10.017,4.48,2,2,24.67599297,-2382.849609,212.8342438,77447.78181,0.126535114,0.663167547,0.190804141,-9999,-9999,-9999,1,0
"1870",1870,100,100.5,"3038511.2011.26",204,2,1,8.375,4,1.305,2,25.06727982,-2519.839844,221.9385529,84504.85276,0.119760401,0.663167547,0.180588453,-9999,-9999,-9999,1,0
"1873",1873,100,105.912,"3038751.2011.26",204,2,1,8.826,3.659,1,2.936,24.98967361,-2634.343994,229.060791,91333.4332,0.339554588,0.663167547,0.512019307,-9999,-9999,-9999,1,0
"1876",1876,100,120.072,"3038991.2011.26",204,2,1,10.006,3.6,1,3,24.90219498,-2714.471191,232.9864197,96720.48469,0.359580867,0.663167547,0.542217225,-9999,-9999,-9999,1,0
"1879",1879,100,87.948,"3039231.2011.26",204,2,1,7.329,2.979,0.786,3,24.96936798,-2770.219238,237.9713745,100889.7675,0.340237566,0.663167547,0.513049179,-9999,-9999,-9999,1,0
"1882",1882,100,101.136,"3039471.2011.26",204,2,1,8.428,2.178,0.541,3,25.0173111,-2808.531738,242.9087677,105647.1202,0.316076237,0.663167547,0.47661596,-9999,-9999,-9999,1,0
"1885",1885,100,116.136,"3039711.2011.26",204,2,1,9.678,2.652,1.762,3,25.17228127,-2841.974854,247.5401001,110983.7163,0.330259867,0.663167547,0.498003663,-9999,-9999,-9999,1,0
"1888",1888,100,120.6,"3039951.2011.26",204,2,1,10.05,2.921,2.442,2.558,25.25144577,-2881.183594,252.1688995,116276.6829,0.209464498,0.663167547,0.315854567,-9999,-9999,-9999,1,0
