"","segment","Effort","TRIPID","TripID_Num","survey","Season","SIGHTTIME","USEDINEST","CLOUDCOVERAGE","TURBIDITY","beaufort","SUBJ_WAVG","GLAREMAG_WAVG","CELLAREA_KM2","object","SPECIES","Species_Hab_Num","detected","SIGHTLAT","SIGHTLON","observer","TEAM","OBSERVER_Name","BEHAVIOR","CUE","SWELLHEIGHT","distance","AVAILAFT","TRANSECT","SWIMDIR","size","ECOREGION","survey.1","plat.id","surv.id","Region.Label","Sample.Label","JD"
"1257","3026799.2012.41",10.243,"TONE12FAL",6,2,3,NA,"",NA,NA,3.275,3,0,100,NA,"",-9999,-9999,NA,NA,-9999,"-9999","-9999","-9999","-9999",NA,-9999,"-9999","",NA,-9999,"SS","NEA",2,4,"3922. TONE12FAL:3026799:40","3400. 3026799",324
"1258","3026800.2012.14",5.132,"TONE12SPR",5,2,1,NA,"",NA,NA,3.655,2.371,3,100,NA,"",-9999,-9999,NA,NA,-9999,"-9999","-9999","-9999","-9999",NA,-9999,"-9999","",NA,-9999,"SS","NEA",2,5,"3926. TONE12SPR:3026800:13","3904. 3026800",108
"1259","3026803.2012.41",7.643,"TONE12FAL",6,2,3,20.48,"yes",65,1,3.2,2.75,2,100,28956,"RIWH",-9999,-9999,43.00246048,-65.0967865,-9999,"-9999","-9999","-9999","-9999",NA,-9999,"-9999","A/35",270,-9999,"SS","NEA",2,4,"2383. TONE12FAL:3026803:40","2368. 3026803",324
"1260","3026803.2012.41",7.643,"TONE12FAL",6,2,3,20.48,"yes",65,1,3.2,2.75,2,100,28956,"RIWH",-9999,-9999,43.00246048,-65.0967865,-9999,"-9999","-9999","-9999","-9999",NA,-9999,"-9999","A/35",270,-9999,"SS","NEA",2,4,"2383. TONE12FAL:3026803:40","2368. 3026803",324
"1261","3026804.2012.41",4.494,"TONE12FAL",6,2,3,NA,"",NA,NA,3.2,2.75,2,100,NA,"",-9999,-9999,NA,NA,-9999,"-9999","-9999","-9999","-9999",NA,-9999,"-9999","",NA,-9999,"SS","NEA",2,4,"3929. TONE12FAL:3026804:40","3907. 3026804",324
"1262","3026809.2012.41",2.515,"TONE12FAL",6,2,3,NA,"",NA,NA,3,3,3,100,NA,"",-9999,-9999,NA,NA,-9999,"-9999","-9999","-9999","-9999",NA,-9999,"-9999","",NA,-9999,"SS","NEA",2,4,"3931. TONE12FAL:3026809:40","3909. 3026809",324
"1263","3026810.2012.41",9.94,"TONE12FAL",6,2,3,NA,"",NA,NA,3,3,3,100,NA,"",-9999,-9999,NA,NA,-9999,"-9999","-9999","-9999","-9999",NA,-9999,"-9999","",NA,-9999,"SS","NEA",2,4,"3932. TONE12FAL:3026810:40","3910. 3026810",324
"1264","3026816.2012.41",12.287,"TONE12FAL",6,2,3,NA,"",NA,NA,3.5,2.25,3,100,NA,"",-9999,-9999,NA,NA,-9999,"-9999","-9999","-9999","-9999",NA,-9999,"-9999","",NA,-9999,"SS","NEA",2,4,"3935. TONE12FAL:3026816:40","3913. 3026816",324
"1265","3026822.2012.41",4.39,"TONE12FAL",6,2,3,NA,"",NA,NA,3.3,3,3,100,NA,"",-9999,-9999,NA,NA,-9999,"-9999","-9999","-9999","-9999",NA,-9999,"-9999","",NA,-9999,"SB","NEA",2,4,"5820. TONE12FAL:3026822:40","5692. 3026822",324
"1266","3026823.2012.41",7.993,"TONE12FAL",6,2,3,NA,"",NA,NA,3.3,3,3,100,NA,"",-9999,-9999,NA,NA,-9999,"-9999","-9999","-9999","-9999",NA,-9999,"-9999","",NA,-9999,"SB","NEA",2,4,"5821. TONE12FAL:3026823:40","5693. 3026823",324
"1267","3026829.2012.41",9.973,"TONE12FAL",6,2,3,NA,"",NA,NA,3.1,2.75,3,100,NA,"",-9999,-9999,NA,NA,-9999,"-9999","-9999","-9999","-9999",NA,-9999,"-9999","",NA,-9999,"SB","NEA",2,4,"5822. TONE12FAL:3026829:40","5694. 3026829",324
"1268","3027000.2012.17",9.549,"TONE12SPR",5,2,1,14.791,"yes",0,1,2,3.75,3,100,29376,"HAPO",-9999,-9999,43.22603607,-70.39816284,-9999,"-9999","-9999","-9999","-9999",NA,-9999,"-9999","L/32",260,-9999,"GOM","NEA",2,5,"2519. TONE12SPR:3027000:16","2503. 3027000",132
"1269","3027000.2012.17",9.549,"TONE12SPR",5,2,1,14.787,"yes",0,1,2,3.75,3,100,29375,"HAPO",-9999,-9999,43.22138596,-70.39248657,-9999,"-9999","-9999","-9999","-9999",NA,-9999,"-9999","L/32",-1,-9999,"GOM","NEA",2,5,"2519. TONE12SPR:3027000:16","2503. 3027000",132
"1270","3027000.2012.17",9.549,"TONE12SPR",5,2,1,14.771,"yes",0,1,2,3.75,3,100,29373,"HAPO",-9999,-9999,43.19849777,-70.36458588,-9999,"-9999","-9999","-9999","-9999",NA,-9999,"-9999","L/32",-1,-9999,"GOM","NEA",2,5,"2519. TONE12SPR:3027000:16","2503. 3027000",132
"1271","3027000.2012.17",9.549,"TONE12SPR",5,2,1,14.791,"yes",0,1,2,3.75,3,100,29376,"HAPO",-9999,-9999,43.22603607,-70.39816284,-9999,"-9999","-9999","-9999","-9999",NA,-9999,"-9999","L/32",260,-9999,"GOM","NEA",2,5,"2519. TONE12SPR:3027000:16","2503. 3027000",132
"1272","3027000.2012.17",9.549,"TONE12SPR",5,2,1,14.772,"yes",0,1,2,3.75,3,100,29374,"HAPO",-9999,-9999,43.20002747,-70.36644745,-9999,"-9999","-9999","-9999","-9999",NA,-9999,"-9999","L/32",0,-9999,"GOM","NEA",2,5,"2519. TONE12SPR:3027000:16","2503. 3027000",132
"1273","3027000.2012.17",9.549,"TONE12SPR",5,2,1,14.772,"yes",0,1,2,3.75,3,100,29374,"HAPO",-9999,-9999,43.20002747,-70.36644745,-9999,"-9999","-9999","-9999","-9999",NA,-9999,"-9999","L/32",0,-9999,"GOM","NEA",2,5,"2519. TONE12SPR:3027000:16","2503. 3027000",132
"1274","3027000.2012.17",9.549,"TONE12SPR",5,2,1,14.787,"yes",0,1,2,3.75,3,100,29375,"HAPO",-9999,-9999,43.22138596,-70.39248657,-9999,"-9999","-9999","-9999","-9999",NA,-9999,"-9999","L/32",-1,-9999,"GOM","NEA",2,5,"2519. TONE12SPR:3027000:16","2503. 3027000",132
"1275","3027000.2012.17",9.549,"TONE12SPR",5,2,1,14.771,"yes",0,1,2,3.75,3,100,29373,"HAPO",-9999,-9999,43.19849777,-70.36458588,-9999,"-9999","-9999","-9999","-9999",NA,-9999,"-9999","L/32",-1,-9999,"GOM","NEA",2,5,"2519. TONE12SPR:3027000:16","2503. 3027000",132
"1276","3027001.2012.17",4.455,"TONE12SPR",5,2,1,NA,"",NA,NA,2,3.75,3,100,NA,"",-9999,-9999,NA,NA,-9999,"-9999","-9999","-9999","-9999",NA,-9999,"-9999","",NA,-9999,"GOM","NEA",2,5,"5824. TONE12SPR:3027001:16","5696. 3027001",132
"1277","3027003.2012.14",5.83,"TONE12SPR",5,2,1,NA,"",NA,NA,3.1,3,2,100,NA,"",-9999,-9999,NA,NA,-9999,"-9999","-9999","-9999","-9999",NA,-9999,"-9999","",NA,-9999,"GOM","NEA",2,5,"5827. TONE12SPR:3027003:13","5699. 3027003",108
"1278","3027003.2011.29",5.475,"TONE11SUM",3,2,2,NA,"",NA,NA,3.3,2,1,100,NA,"",-9999,-9999,NA,NA,-9999,"-9999","-9999","-9999","-9999",NA,-9999,"-9999","",NA,-9999,"GOM","NEA",2,2,"5828. TONE11SUM:3027003:28","5700. 3027003",228
"1279","3027003.2012.38",5.77,"TONE12FAL",6,2,3,NA,"",NA,NA,3,2.75,3,100,NA,"",-9999,-9999,NA,NA,-9999,"-9999","-9999","-9999","-9999",NA,-9999,"-9999","",NA,-9999,"GOM","NEA",2,4,"5826. TONE12FAL:3027003:37","5698. 3027003",300
"1280","3027004.2012.14",5.461,"TONE12SPR",5,2,1,NA,"",NA,NA,3.21,3,2,100,NA,"",-9999,-9999,NA,NA,-9999,"-9999","-9999","-9999","-9999",NA,-9999,"-9999","",NA,-9999,"GOM","NEA",2,5,"5837. TONE12SPR:3027004:13","5709. 3027004",108
"1281","3027004.2011.29",8.793,"TONE11SUM",3,2,2,22.732,"yes",99,2,3.3,2,1,100,27154,"FIWH",1,1,43.19800568,-69.97703552,1,"front","PD1","UNKNOWN","Blow",NA,293,"Y","R/27",35,1,"GOM","NEA",2,2,"2083. TONE11SUM:3027004:28","2070. 3027004",228
"1282","3027004.2011.29",8.793,"TONE11SUM",3,2,2,22.732,"yes",99,2,3.3,2,1,100,27154,"FIWH",1,0,43.19800568,-69.97703552,2,"back","PD1","UNKNOWN","Blow",NA,293,"Y","R/27",35,1,"GOM","NEA",2,2,"2083. TONE11SUM:3027004:28","2070. 3027004",228
"1283","3027004.2012.38",8.496,"TONE12FAL",6,2,3,NA,"",NA,NA,3,2.75,3,100,NA,"",-9999,-9999,NA,NA,-9999,"-9999","-9999","-9999","-9999",NA,-9999,"-9999","",NA,-9999,"GOM","NEA",2,4,"5836. TONE12FAL:3027004:37","5708. 3027004",300
"1284","3027007.2012.17",12.8,"TONE12SPR",5,2,1,16.575,"yes",5,2,2.376,2.25,3,100,29382,"HUWH",-9999,-9999,43.16159439,-69.52640533,-9999,"-9999","-9999","-9999","-9999",NA,-9999,"-9999","L/33",40,-9999,"GOM","NEA",2,5,"2521. TONE12SPR:3027007:16","2505. 3027007",132
"1285","3027007.2012.17",12.8,"TONE12SPR",5,2,1,16.568,"yes",5,2,2.376,2.25,3,100,29381,"UNCW",-9999,-9999,43.17131424,-69.53858948,-9999,"-9999","-9999","-9999","-9999",NA,-9999,"-9999","L/33",-1,-9999,"GOM","NEA",2,5,"2521. TONE12SPR:3027007:16","2505. 3027007",132
"1286","3027007.2012.17",12.8,"TONE12SPR",5,2,1,16.566,"yes",5,2,2.376,2.25,3,100,29379,"BODO",-9999,-9999,43.17430878,-69.54238892,-9999,"-9999","-9999","-9999","-9999",NA,-9999,"-9999","L/33",210,-9999,"GOM","NEA",2,5,"2521. TONE12SPR:3027007:16","2505. 3027007",132
"1287","3027007.2012.17",12.8,"TONE12SPR",5,2,1,16.566,"yes",5,2,2.376,2.25,3,100,29379,"BODO",-9999,-9999,43.17430878,-69.54238892,-9999,"-9999","-9999","-9999","-9999",NA,-9999,"-9999","L/33",210,-9999,"GOM","NEA",2,5,"2521. TONE12SPR:3027007:16","2505. 3027007",132
"1288","3027007.2012.17",12.8,"TONE12SPR",5,2,1,16.568,"yes",5,2,2.376,2.25,3,100,29381,"UNCW",-9999,-9999,43.17131424,-69.53858948,-9999,"-9999","-9999","-9999","-9999",NA,-9999,"-9999","L/33",-1,-9999,"GOM","NEA",2,5,"2521. TONE12SPR:3027007:16","2505. 3027007",132
"1289","3027007.2012.17",12.8,"TONE12SPR",5,2,1,16.585,"yes",5,2,2.376,2.25,3,100,29384,"HUWH",-9999,-9999,43.1480484,-69.51013947,-9999,"-9999","-9999","-9999","-9999",NA,-9999,"-9999","L/33",40,-9999,"GOM","NEA",2,5,"2521. TONE12SPR:3027007:16","2505. 3027007",132
"1290","3027007.2012.17",12.8,"TONE12SPR",5,2,1,16.575,"yes",5,2,2.376,2.25,3,100,29382,"HUWH",-9999,-9999,43.16159439,-69.52640533,-9999,"-9999","-9999","-9999","-9999",NA,-9999,"-9999","L/33",40,-9999,"GOM","NEA",2,5,"2521. TONE12SPR:3027007:16","2505. 3027007",132
"1291","3027007.2012.17",12.8,"TONE12SPR",5,2,1,16.54,"yes",5,2,2.376,2.25,3,100,29378,"HUWH",-9999,-9999,43.21089554,-69.58621216,-9999,"-9999","-9999","-9999","-9999",NA,-9999,"-9999","L/33",250,-9999,"GOM","NEA",2,5,"2521. TONE12SPR:3027007:16","2505. 3027007",132
"1292","3027007.2012.17",12.8,"TONE12SPR",5,2,1,16.567,"yes",5,2,2.376,2.25,3,100,29380,"HUWH",-9999,-9999,43.17205811,-69.53953552,-9999,"-9999","-9999","-9999","-9999",NA,-9999,"-9999","L/33",250,-9999,"GOM","NEA",2,5,"2521. TONE12SPR:3027007:16","2505. 3027007",132
"1293","3027007.2012.17",12.8,"TONE12SPR",5,2,1,16.54,"yes",5,2,2.376,2.25,3,100,29378,"HUWH",-9999,-9999,43.21089554,-69.58621216,-9999,"-9999","-9999","-9999","-9999",NA,-9999,"-9999","L/33",250,-9999,"GOM","NEA",2,5,"2521. TONE12SPR:3027007:16","2505. 3027007",132
"1294","3027007.2012.17",12.8,"TONE12SPR",5,2,1,16.575,"yes",5,2,2.376,2.25,3,100,29383,"UNCW",-9999,-9999,43.16159439,-69.52640533,-9999,"-9999","-9999","-9999","-9999",NA,-9999,"-9999","L/33",-1,-9999,"GOM","NEA",2,5,"2521. TONE12SPR:3027007:16","2505. 3027007",132
"1295","3027007.2012.17",12.8,"TONE12SPR",5,2,1,16.567,"yes",5,2,2.376,2.25,3,100,29380,"HUWH",-9999,-9999,43.17205811,-69.53953552,-9999,"-9999","-9999","-9999","-9999",NA,-9999,"-9999","L/33",250,-9999,"GOM","NEA",2,5,"2521. TONE12SPR:3027007:16","2505. 3027007",132
"1296","3027007.2012.17",12.8,"TONE12SPR",5,2,1,16.575,"yes",5,2,2.376,2.25,3,100,29383,"UNCW",-9999,-9999,43.16159439,-69.52640533,-9999,"-9999","-9999","-9999","-9999",NA,-9999,"-9999","L/33",-1,-9999,"GOM","NEA",2,5,"2521. TONE12SPR:3027007:16","2505. 3027007",132
"1297","3027007.2012.17",12.8,"TONE12SPR",5,2,1,16.585,"yes",5,2,2.376,2.25,3,100,29384,"HUWH",-9999,-9999,43.1480484,-69.51013947,-9999,"-9999","-9999","-9999","-9999",NA,-9999,"-9999","L/33",40,-9999,"GOM","NEA",2,5,"2521. TONE12SPR:3027007:16","2505. 3027007",132
"1298","3027008.2012.17",1.304,"TONE12SPR",5,2,1,NA,"",NA,NA,2,2.25,3,100,NA,"",-9999,-9999,NA,NA,-9999,"-9999","-9999","-9999","-9999",NA,-9999,"-9999","",NA,-9999,"GOM","NEA",2,5,"5846. TONE12SPR:3027008:16","5718. 3027008",132
"1299","3027010.2012.14",7.661,"TONE12SPR",5,2,1,NA,"",NA,NA,3.8,1.333,3,100,NA,"",-9999,-9999,NA,NA,-9999,"-9999","-9999","-9999","-9999",NA,-9999,"-9999","",NA,-9999,"GOM","NEA",2,5,"5849. TONE12SPR:3027010:13","5721. 3027010",108
"1300","3027010.2011.29",8.056,"TONE11SUM",3,2,2,NA,"",NA,NA,1.8,3.304,2,100,NA,"",-9999,-9999,NA,NA,-9999,"-9999","-9999","-9999","-9999",NA,-9999,"-9999","",NA,-9999,"GOM","NEA",2,2,"5853. TONE11SUM:3027010:28","5725. 3027010",228
"1301","3027010.2012.38",7.712,"TONE12FAL",6,2,3,NA,"",NA,NA,3,3.5,3,100,NA,"",-9999,-9999,NA,NA,-9999,"-9999","-9999","-9999","-9999",NA,-9999,"-9999","",NA,-9999,"GOM","NEA",2,4,"5848. TONE12FAL:3027010:37","5720. 3027010",300
"1302","3027011.2012.14",6.867,"TONE12SPR",5,2,1,16.704,"yes",50,1,3.8,1.333,3,100,29229,"SADO",-9999,-9999,43.12503052,-69.08804321,-9999,"-9999","-9999","-9999","-9999",NA,-9999,"-9999","L/18",40,-9999,"GOM","NEA",2,5,"2464. TONE12SPR:3027011:13","2448. 3027011",108
"1303","3027011.2012.14",6.867,"TONE12SPR",5,2,1,16.704,"yes",50,1,3.8,1.333,3,100,29229,"SADO",-9999,-9999,43.12503052,-69.08804321,-9999,"-9999","-9999","-9999","-9999",NA,-9999,"-9999","L/18",40,-9999,"GOM","NEA",2,5,"2464. TONE12SPR:3027011:13","2448. 3027011",108
"1304","3027011.2011.29",6.478,"TONE11SUM",3,2,2,NA,"",NA,NA,1.8,3,2,100,NA,"",-9999,-9999,NA,NA,-9999,"-9999","-9999","-9999","-9999",NA,-9999,"-9999","",NA,-9999,"GOM","NEA",2,2,"5862. TONE11SUM:3027011:28","5734. 3027011",228
"1305","3027011.2012.38",6.811,"TONE12FAL",6,2,3,NA,"",NA,NA,3,3.5,3,100,NA,"",-9999,-9999,NA,NA,-9999,"-9999","-9999","-9999","-9999",NA,-9999,"-9999","",NA,-9999,"GOM","NEA",2,4,"5859. TONE12FAL:3027011:37","5731. 3027011",300
"1306","3027014.2012.17",9.841,"TONE12SPR",5,2,1,NA,"",NA,NA,2.2,3,3,100,NA,"",-9999,-9999,NA,NA,-9999,"-9999","-9999","-9999","-9999",NA,-9999,"-9999","",NA,-9999,"GOM","NEA",2,5,"5868. TONE12SPR:3027014:16","5740. 3027014",132
"1307","3027015.2012.17",4.715,"TONE12SPR",5,2,1,NA,"",NA,NA,2.2,3,3,100,NA,"",-9999,-9999,NA,NA,-9999,"-9999","-9999","-9999","-9999",NA,-9999,"-9999","",NA,-9999,"GOM","NEA",2,5,"5871. TONE12SPR:3027015:16","5743. 3027015",132
"1308","3027017.2012.14",1.504,"TONE12SPR",5,2,1,NA,"",NA,NA,2.7,3,0,100,NA,"",-9999,-9999,NA,NA,-9999,"-9999","-9999","-9999","-9999",NA,-9999,"-9999","",NA,-9999,"GOM","NEA",2,5,"5874. TONE12SPR:3027017:13","5746. 3027017",108
"1309","3027017.2011.29",1.626,"TONE11SUM",3,2,2,NA,"",NA,NA,2.5,2.5,3,100,NA,"",-9999,-9999,NA,NA,-9999,"-9999","-9999","-9999","-9999",NA,-9999,"-9999","",NA,-9999,"GOM","NEA",2,2,"5878. TONE11SUM:3027017:28","5750. 3027017",228
"1310","3027017.2012.39",1.547,"TONE12FAL",6,2,3,NA,"",NA,NA,3.9,3,3,100,NA,"",-9999,-9999,NA,NA,-9999,"-9999","-9999","-9999","-9999",NA,-9999,"-9999","",NA,-9999,"GOM","NEA",2,4,"5876. TONE12FAL:3027017:38","5748. 3027017",308
"1311","3027018.2012.14",12.783,"TONE12SPR",5,2,1,NA,"",NA,NA,2.992,3.235,0,100,NA,"",-9999,-9999,NA,NA,-9999,"-9999","-9999","-9999","-9999",NA,-9999,"-9999","",NA,-9999,"GOM","NEA",2,5,"5882. TONE12SPR:3027018:13","5754. 3027018",108
"1312","3027018.2011.29",12.635,"TONE11SUM",3,2,2,NA,"",NA,NA,2.537,2.5,3,100,NA,"",-9999,-9999,NA,NA,-9999,"-9999","-9999","-9999","-9999",NA,-9999,"-9999","",NA,-9999,"GOM","NEA",2,2,"5886. TONE11SUM:3027018:28","5758. 3027018",228
"1313","3027018.2012.39",12.24,"TONE12FAL",6,2,3,NA,"",NA,NA,3.9,2.88,3,100,NA,"",-9999,-9999,NA,NA,-9999,"-9999","-9999","-9999","-9999",NA,-9999,"-9999","",NA,-9999,"GOM","NEA",2,4,"5884. TONE12FAL:3027018:38","5756. 3027018",308
"1314","3027021.2012.17",1.157,"TONE12SPR",5,2,1,NA,"",NA,NA,1.8,2.5,1,100,NA,"",-9999,-9999,NA,NA,-9999,"-9999","-9999","-9999","-9999",NA,-9999,"-9999","",NA,-9999,"GOM","NEA",2,5,"5890. TONE12SPR:3027021:16","5762. 3027021",132
"1315","3027022.2012.17",13.15,"TONE12SPR",5,2,1,NA,"",NA,NA,1.8,2.5,1.028,100,NA,"",-9999,-9999,NA,NA,-9999,"-9999","-9999","-9999","-9999",NA,-9999,"-9999","",NA,-9999,"GOM","NEA",2,5,"5892. TONE12SPR:3027022:16","5764. 3027022",132
"1316","3027025.2012.14",1.773,"TONE12SPR",5,2,1,NA,"",NA,NA,0.8,3.5,2,100,NA,"",-9999,-9999,NA,NA,-9999,"-9999","-9999","-9999","-9999",NA,-9999,"-9999","",NA,-9999,"GOM","NEA",2,5,"5895. TONE12SPR:3027025:13","5767. 3027025",108
"1317","3027025.2011.29",1.778,"TONE11SUM",3,2,2,NA,"",NA,NA,2.5,4,3,100,NA,"",-9999,-9999,NA,NA,-9999,"-9999","-9999","-9999","-9999",NA,-9999,"-9999","",NA,-9999,"GOM","NEA",2,2,"5898. TONE11SUM:3027025:28","5770. 3027025",228
"1318","3027025.2012.39",1.142,"TONE12FAL",6,2,3,NA,"",NA,NA,3.8,2.75,3,100,NA,"",-9999,-9999,NA,NA,-9999,"-9999","-9999","-9999","-9999",NA,-9999,"-9999","",NA,-9999,"GOM","NEA",2,4,"5897. TONE12FAL:3027025:38","5769. 3027025",308
"1319","3027026.2012.14",12.628,"TONE12SPR",5,2,1,14.915,"yes",30,0,1.285,3.453,2,100,29250,"HAPO",-9999,-9999,43.07940292,-67.26774597,-9999,"-9999","-9999","-9999","-9999",NA,-9999,"-9999","L/20",350,-9999,"SS","NEA",2,5,"2473. TONE12SPR:3027026:13","2457. 3027026",108
"1320","3027026.2012.14",12.628,"TONE12SPR",5,2,1,14.915,"yes",30,0,1.285,3.453,2,100,29250,"HAPO",-9999,-9999,43.07940292,-67.26774597,-9999,"-9999","-9999","-9999","-9999",NA,-9999,"-9999","L/20",350,-9999,"SS","NEA",2,5,"2473. TONE12SPR:3027026:13","2457. 3027026",108
"1321","3027026.2011.29",12.62,"TONE11SUM",3,2,2,NA,"",NA,NA,2.5,4,3,100,NA,"",-9999,-9999,NA,NA,-9999,"-9999","-9999","-9999","-9999",NA,-9999,"-9999","",NA,-9999,"SS","NEA",2,2,"5902. TONE11SUM:3027026:28","5774. 3027026",228
"1322","3027026.2012.39",13.265,"TONE12FAL",6,2,3,15.475,"yes",0,0,3.712,2.75,3,100,28713,"UNWH",-9999,-9999,43.08718872,-67.27172852,-9999,"-9999","-9999","-9999","-9999",NA,-9999,"-9999","A/25",20,-9999,"SS","NEA",2,4,"2317. TONE12FAL:3027026:38","2302. 3027026",308
"1323","3027026.2012.39",13.265,"TONE12FAL",6,2,3,15.475,"yes",0,0,3.712,2.75,3,100,28713,"UNWH",-9999,-9999,43.08718872,-67.27172852,-9999,"-9999","-9999","-9999","-9999",NA,-9999,"-9999","A/25",20,-9999,"SS","NEA",2,4,"2317. TONE12FAL:3027026:38","2302. 3027026",308
"1324","3027029.2012.17",2.368,"TONE12SPR",5,2,1,18.324,"yes",30,9,4,2.5,3,100,29440,"UNWH",-9999,-9999,43.0622673,-66.80104065,-9999,"-9999","-9999","-9999","-9999",NA,-9999,"-9999","L/36",150,-9999,"SS","NEA",2,5,"2549. TONE12SPR:3027029:16","2533. 3027029",132
"1325","3027029.2012.17",2.368,"TONE12SPR",5,2,1,18.324,"yes",30,9,4,2.5,3,100,29440,"UNWH",-9999,-9999,43.0622673,-66.80104065,-9999,"-9999","-9999","-9999","-9999",NA,-9999,"-9999","L/36",150,-9999,"SS","NEA",2,5,"2549. TONE12SPR:3027029:16","2533. 3027029",132
"1326","3027029.2011.29",8.079,"TONE11SUM",3,2,2,14.321,"yes",0,0,1.626,3,3,100,27181,"HUWH",-9999,-9999,43.03961563,-66.82051086,-9999,"-9999","-9999","-9999","-9999",NA,-9999,"-9999","R/35",190,-9999,"SS","NEA",2,2,"2089. TONE11SUM:3027029:28","2076. 3027029",228
"1327","3027029.2011.29",8.079,"TONE11SUM",3,2,2,14.321,"yes",0,0,1.626,3,3,100,27181,"HUWH",-9999,-9999,43.03961563,-66.82051086,-9999,"-9999","-9999","-9999","-9999",NA,-9999,"-9999","R/35",190,-9999,"SS","NEA",2,2,"2089. TONE11SUM:3027029:28","2076. 3027029",228
"1328","3027030.2012.17",12.332,"TONE12SPR",5,2,1,NA,"",NA,NA,4,2.5,3,100,NA,"",-9999,-9999,NA,NA,-9999,"-9999","-9999","-9999","-9999",NA,-9999,"-9999","",NA,-9999,"SS","NEA",2,5,"5903. TONE12SPR:3027030:16","5775. 3027030",132
"1329","3027030.2011.29",5.721,"TONE11SUM",3,2,2,NA,"",NA,NA,2.91,3,3,100,NA,"",-9999,-9999,NA,NA,-9999,"-9999","-9999","-9999","-9999",NA,-9999,"-9999","",NA,-9999,"SS","NEA",2,2,"5904. TONE11SUM:3027030:28","5776. 3027030",228
"1330","3027033.2012.15",7.145,"TONE12SPR",5,2,1,NA,"",NA,NA,3,2.5,2,100,NA,"",-9999,-9999,NA,NA,-9999,"-9999","-9999","-9999","-9999",NA,-9999,"-9999","",NA,-9999,"SS","NEA",2,5,"5906. TONE12SPR:3027033:14","5778. 3027033",116
"1331","3027033.2012.42",7.029,"TONE12FAL",6,2,3,NA,"",NA,NA,3.417,2.5,0,100,NA,"",-9999,-9999,NA,NA,-9999,"-9999","-9999","-9999","-9999",NA,-9999,"-9999","",NA,-9999,"SS","NEA",2,4,"5905. TONE12FAL:3027033:41","5777. 3027033",332
"1332","3027034.2012.15",7.371,"TONE12SPR",5,2,1,NA,"",NA,NA,3,2.5,2,100,NA,"",-9999,-9999,NA,NA,-9999,"-9999","-9999","-9999","-9999",NA,-9999,"-9999","",NA,-9999,"SS","NEA",2,5,"5910. TONE12SPR:3027034:14","5782. 3027034",116
"1333","3027034.2012.42",7.467,"TONE12FAL",6,2,3,NA,"",NA,NA,3.3,2.5,0,100,NA,"",-9999,-9999,NA,NA,-9999,"-9999","-9999","-9999","-9999",NA,-9999,"-9999","",NA,-9999,"SS","NEA",2,4,"5909. TONE12FAL:3027034:41","5781. 3027034",332
"1334","3027035.2011.30",1.554,"TONE11SUM",3,2,2,NA,"",NA,NA,1.601,3,2,100,NA,"",-9999,-9999,NA,NA,-9999,"-9999","-9999","-9999","-9999",NA,-9999,"-9999","",NA,-9999,"SS","NEA",2,2,"5914. TONE11SUM:3027035:29","5786. 3027035",236
"1335","3027036.2011.30",8.477,"TONE11SUM",3,2,2,NA,"",NA,NA,1.908,3,2.35,100,NA,"",-9999,-9999,NA,NA,-9999,"-9999","-9999","-9999","-9999",NA,-9999,"-9999","",NA,-9999,"SS","NEA",2,2,"5915. TONE11SUM:3027036:29","5787. 3027036",236
"1336","3027037.2011.30",8.427,"TONE11SUM",3,2,2,20.778,"yes",40,1,1.835,2,3,100,27599,"WSDO",-9999,-9999,42.97644424,-65.83067322,-9999,"-9999","-9999","-9999","-9999",NA,-9999,"-9999","R/86",220,-9999,"SS","NEA",2,2,"2144. TONE11SUM:3027037:29","2131. 3027037",236
"1337","3027037.2011.30",8.427,"TONE11SUM",3,2,2,20.778,"yes",40,1,1.835,2,3,100,27599,"WSDO",-9999,-9999,42.97644424,-65.83067322,-9999,"-9999","-9999","-9999","-9999",NA,-9999,"-9999","R/86",220,-9999,"SS","NEA",2,2,"2144. TONE11SUM:3027037:29","2131. 3027037",236
"1338","3027038.2011.30",1.842,"TONE11SUM",3,2,2,NA,"",NA,NA,2.3,2,3,100,NA,"",-9999,-9999,NA,NA,-9999,"-9999","-9999","-9999","-9999",NA,-9999,"-9999","",NA,-9999,"SS","NEA",2,2,"5916. TONE11SUM:3027038:29","5788. 3027038",236
"1339","3027039.2012.41",3.085,"TONE12FAL",6,2,3,NA,"",NA,NA,3.5,3,0,100,NA,"",-9999,-9999,NA,NA,-9999,"-9999","-9999","-9999","-9999",NA,-9999,"-9999","",NA,-9999,"SS","NEA",2,4,"5917. TONE12FAL:3027039:40","5789. 3027039",324
"1340","3027040.2012.14",8.702,"TONE12SPR",5,2,1,NA,"",NA,NA,3.2,2.75,3,100,NA,"",-9999,-9999,NA,NA,-9999,"-9999","-9999","-9999","-9999",NA,-9999,"-9999","",NA,-9999,"SS","NEA",2,5,"5921. TONE12SPR:3027040:13","5793. 3027040",108
"1341","3027040.2012.41",7.16,"TONE12FAL",6,2,3,NA,"",NA,NA,3.5,3,0,100,NA,"",-9999,-9999,NA,NA,-9999,"-9999","-9999","-9999","-9999",NA,-9999,"-9999","",NA,-9999,"SS","NEA",2,4,"5922. TONE12FAL:3027040:40","5794. 3027040",324
